Account No,Name,Income,Loan Amount,Status
245625637641,Sandhya Bhardwaj,78990,45987,Rejected
245625637641,Sandhya Bhardwaj,76000,50000,Approved
63359376227,Asheesh ,98000,56000,Approved
123456776457,Sandhya Bhardwaj,897000,450000,Approved
123456776457,Tammana,735630,2345000,Approved
1273655434375,khushi,57900,45000,Approved
1273655434375,khushi kumari,45000,34000,Approved
1273655434375,Priti,780000,450000,Approved
9854123456,Sohana Khatun,60000,40000,Approved
12349876543,Karan,50000,900000,Approved
338344987365,Muskan,87534,70000,Approved
338344987365,kkhushi,50000,450000,Approved
338344987365,kanika,34000,30000,Approved
234567878765,Radha,900000,28000000,Approved
2345678,Sakshi,56000,234000,Approved
364573467356,Abhishek Sharma,150000,200000,Approved
67532475655612,Tammana Khatak,50000,200000,Approved
271431434143,Sandhya bhardwaj,35000,2000000,Approved
25613216559,Parminder,20000,2000000,Approved
2345678345678,Tammana rani,2000,3500000,Approved
12345768906,tammanarani,2000,200000,Rejected
12345768906,tammanarani,200000,200000,Rejected
12345768906,tammanarani,200000,200000,Approved
263451166555,Sandhya ,56000,500000,Approved
15273554324767,Raman,12000,450000,Rejected
15273554324767,Raman,12000,45000,Rejected
15273554324767,Raman,12000,4500,Rejected
15273554324767,Raman,12000,4500,Approved
12476577885654,Sandhya Bhardwaj,50000,200000,Approved
125757823876,sandhya,340000,500000,Approved
